 ,X,Y
1,0.192,1.538
2,7.072,8.987
3,0.889,1.458
4,10.757,2.964
5,0.985,0.945
6,11.590,1.554
7,0.921,0.465
8,12.711,-0.657
9,0.889,-0.080
10,12.391,-2.579
11,0.761,-0.497
12,11.590,-4.790
13,0.569,-0.913
14,9.283,-6.231
15,0.312,-1.298
16,7.841,-6.712
17,-0.040,-1.394
18,2.715,-8.154
19,-0.392,-1.265
20,-6.864,-6.616
21,-0.841,-1.137
22,-9.107,-6.552
23,-0.937,-0.753
24,-11.574,-4.085
25,-0.937,-0.240
26,-12.695,-2.355
27,-0.969,0.272
28,-13.648,0.625
29,-1.009,0.817
30,-12.351,4.854
31,-0.817,1.201
32,-10.669,6.536
33,-0.481,1.586
34,-7.112,10.092
35,-0.096,1.826
36,-2.547,10.284
