 ,X,Y
1,-0.032,1.159
2,0.451,5.054
3,0.177,1.341
4,2.023,5.612
5,0.349,1.255
6,3.654,5.462
7,0.435,1.084
8,4.898,4.432
9,0.435,0.826
10,6.014,2.844
11,0.542,0.569
12,6.851,2.350
13,0.520,0.397
14,7.152,2.135
15,0.520,0.161
16,7.345,1.191
17,0.542,-0.054
18,7.109,0.268
19,0.606,-0.290
20,6.057,-0.655
21,0.520,-0.418
22,5.542,-2.500
23,0.349,-0.569
24,3.589,-3.702
25,0.177,-0.719
26,2.688,-4.324
27,-0.038,-0.740
28,2.237,-4.872
29,-0.209,-0.665
30,-2.076,-4.678
31,-0.295,-0.515
32,-2.506,-4.571
33,-0.467,-0.429
34,-5.403,-2.168
35,-0.488,-0.365
36,-6.583,-0.258
37,-0.574,-0.129
38,-7.120,0.172
39,-0.617,0.064
40,-7.098,0.837
41,-0.553,0.215
42,-6.884,1.395
43,-0.510,0.429
44,-7.120,1.867
45,-0.488,0.644
46,-6.605,2.854
47,-0.467,0.816
48,-5.596,3.970
49,-0.338,0.987
50,-3.557,5.236
51,-0.231,1.288
52,-3.300,5.086
53,-0.038,1.438
54,-2.076,4.614
